ai: 0, aj: 0, ar: 0
ai: 49, aj: 55, ar: -1
ai: 50, aj: 55, ar: 1
ai: 50, aj: 56, ar: -1
ai: 51, aj: 56, ar: 1
ai: 51, aj: 57, ar: -1
ai: 52, aj: 57, ar: 1
ai: 52, aj: 58, ar: -1
ai: 53, aj: 58, ar: 1
ai: 53, aj: 59, ar: -1
ai: 54, aj: 59, ar: 1
ai: 54, aj: 60, ar: -1
ai: 55, aj: 61, ar: 1
ai: 56, aj: 62, ar: 1
ai: 56, aj: 63, ar: -1
ai: 57, aj: 63, ar: 1
ai: 57, aj: 64, ar: -1
ai: 58, aj: 64, ar: 1
ai: 58, aj: 65, ar: -1
ai: 59, aj: 65, ar: 1
ai: 59, aj: 66, ar: -1
ai: 60, aj: 66, ar: 1
ai: 60, aj: 67, ar: -1
ai: 61, aj: 67, ar: 1
ai: 61, aj: 68, ar: -1
ai: 62, aj: 68, ar: 1
ai: 62, aj: 69, ar: -1
ai: 63, aj: 69, ar: 1
ai: 63, aj: 70, ar: -1
ai: 64, aj: 71, ar: 1
ai: 65, aj: 72, ar: 1
ai: 65, aj: 73, ar: -1
ai: 66, aj: 73, ar: 1
ai: 66, aj: 74, ar: -1
ai: 67, aj: 74, ar: 1
ai: 67, aj: 75, ar: -1
ai: 68, aj: 75, ar: 1
ai: 68, aj: 76, ar: -1
ai: 69, aj: 76, ar: 1
ai: 69, aj: 77, ar: -1
ai: 70, aj: 77, ar: 1
ai: 70, aj: 78, ar: -1
ai: 71, aj: 78, ar: 1
ai: 71, aj: 79, ar: -1
ai: 72, aj: 79, ar: 1
ai: 72, aj: 80, ar: -1
ai: 73, aj: 81, ar: 1
ai: 74, aj: 82, ar: 1
ai: 74, aj: 83, ar: -1
ai: 75, aj: 83, ar: 1
ai: 75, aj: 84, ar: -1
ai: 76, aj: 84, ar: 1
ai: 76, aj: 85, ar: -1
ai: 77, aj: 85, ar: 1
ai: 77, aj: 86, ar: -1
ai: 78, aj: 86, ar: 1
ai: 78, aj: 87, ar: -1
ai: 79, aj: 87, ar: 1
ai: 79, aj: 88, ar: -1
ai: 80, aj: 88, ar: 1
ai: 80, aj: 89, ar: -1
ai: 81, aj: 89, ar: 1
ai: 81, aj: 90, ar: -1
ai: 82, aj: 91, ar: 1
ai: 83, aj: 92, ar: 1
ai: 83, aj: 93, ar: -1
ai: 84, aj: 93, ar: 1
ai: 84, aj: 94, ar: -1
ai: 85, aj: 94, ar: 1
ai: 85, aj: 95, ar: -1
ai: 86, aj: 95, ar: 1
ai: 86, aj: 96, ar: -1
ai: 87, aj: 96, ar: 1
ai: 87, aj: 97, ar: -1
ai: 88, aj: 97, ar: 1
ai: 88, aj: 98, ar: -1
ai: 89, aj: 98, ar: 1
ai: 89, aj: 99, ar: -1
ai: 90, aj: 99, ar: 1
ai: 90, aj: 100, ar: -1
ai: 91, aj: 101, ar: 1
ai: 92, aj: 102, ar: 1
ai: 92, aj: 103, ar: -1
ai: 93, aj: 103, ar: 1
ai: 93, aj: 104, ar: -1
ai: 94, aj: 104, ar: 1
ai: 94, aj: 105, ar: -1
ai: 95, aj: 105, ar: 1
ai: 95, aj: 106, ar: -1
ai: 96, aj: 106, ar: 1
ai: 96, aj: 107, ar: -1
ai: 97, aj: 107, ar: 1
ai: 97, aj: 108, ar: -1
ai: 98, aj: 108, ar: 1
ai: 98, aj: 109, ar: -1
ai: 99, aj: 109, ar: 1
ai: 99, aj: 110, ar: -1
ai: 100, aj: 111, ar: 1
ai: 101, aj: 112, ar: 1
ai: 101, aj: 113, ar: -1
ai: 102, aj: 113, ar: 1
ai: 102, aj: 114, ar: -1
ai: 103, aj: 114, ar: 1
ai: 103, aj: 115, ar: -1
ai: 104, aj: 115, ar: 1
ai: 104, aj: 116, ar: -1
ai: 105, aj: 116, ar: 1
ai: 105, aj: 117, ar: -1
ai: 106, aj: 117, ar: 1
ai: 106, aj: 118, ar: -1
ai: 107, aj: 118, ar: 1
ai: 107, aj: 119, ar: -1
ai: 108, aj: 119, ar: 1
ai: 108, aj: 120, ar: -1
ai: 109, aj: 121, ar: 1
ai: 110, aj: 122, ar: 1
ai: 110, aj: 123, ar: -1
ai: 111, aj: 123, ar: 1
ai: 111, aj: 124, ar: -1
ai: 112, aj: 124, ar: 1
ai: 112, aj: 125, ar: -1
ai: 113, aj: 125, ar: 1
ai: 113, aj: 126, ar: -1
ai: 114, aj: 126, ar: 1
ai: 114, aj: 127, ar: -1
ai: 115, aj: 127, ar: 1
ai: 115, aj: 128, ar: -1
ai: 116, aj: 128, ar: 1
ai: 116, aj: 129, ar: -1
ai: 117, aj: 129, ar: 1
ai: 117, aj: 130, ar: -1
ai: 118, aj: 131, ar: 1
ai: 119, aj: 132, ar: 1
ai: 119, aj: 133, ar: -1
ai: 120, aj: 133, ar: 1
ai: 120, aj: 134, ar: -1
ai: 121, aj: 134, ar: 1
ai: 121, aj: 135, ar: -1
ai: 122, aj: 135, ar: 1
ai: 122, aj: 136, ar: -1
ai: 123, aj: 136, ar: 1
ai: 123, aj: 137, ar: -1
ai: 124, aj: 137, ar: 1
ai: 124, aj: 138, ar: -1
ai: 125, aj: 138, ar: 1
ai: 125, aj: 139, ar: -1
ai: 126, aj: 139, ar: 1
ai: 126, aj: 140, ar: -1
ai: 127, aj: 141, ar: 1
ai: 128, aj: 142, ar: 1
ai: 128, aj: 143, ar: -1
ai: 129, aj: 143, ar: 1
ai: 129, aj: 144, ar: -1
ai: 130, aj: 144, ar: 1
ai: 130, aj: 145, ar: -1
ai: 131, aj: 145, ar: 1
ai: 131, aj: 146, ar: -1
ai: 132, aj: 146, ar: 1
ai: 132, aj: 147, ar: -1
ai: 133, aj: 147, ar: 1
ai: 133, aj: 148, ar: -1
ai: 134, aj: 148, ar: 1
ai: 134, aj: 149, ar: -1
ai: 135, aj: 149, ar: 1
ai: 135, aj: 150, ar: -1
ai: 136, aj: 151, ar: 1
ai: 137, aj: 152, ar: 1
ai: 137, aj: 153, ar: -1
ai: 138, aj: 153, ar: 1
ai: 138, aj: 154, ar: -1
ai: 139, aj: 154, ar: 1
ai: 139, aj: 155, ar: -1
ai: 140, aj: 155, ar: 1
ai: 140, aj: 156, ar: -1
ai: 141, aj: 156, ar: 1
ai: 141, aj: 157, ar: -1
ai: 142, aj: 157, ar: 1
ai: 142, aj: 158, ar: -1
ai: 143, aj: 158, ar: 1
ai: 143, aj: 159, ar: -1
ai: 144, aj: 159, ar: 1
ai: 144, aj: 160, ar: -1
ai: 145, aj: 161, ar: 1
ai: 146, aj: 162, ar: 1
ai: 146, aj: 163, ar: -1
ai: 147, aj: 163, ar: 1
ai: 147, aj: 164, ar: -1
ai: 148, aj: 164, ar: 1
ai: 148, aj: 165, ar: -1
ai: 149, aj: 165, ar: 1
ai: 149, aj: 166, ar: -1
ai: 150, aj: 166, ar: 1
ai: 150, aj: 167, ar: -1
ai: 151, aj: 167, ar: 1
ai: 151, aj: 168, ar: -1
ai: 152, aj: 168, ar: 1
ai: 152, aj: 169, ar: -1
ai: 153, aj: 169, ar: 1
ai: 153, aj: 170, ar: -1
ai: 154, aj: 171, ar: 1
ai: 155, aj: 172, ar: 1
ai: 155, aj: 173, ar: -1
ai: 156, aj: 173, ar: 1
ai: 156, aj: 174, ar: -1
ai: 157, aj: 174, ar: 1
ai: 157, aj: 175, ar: -1
ai: 158, aj: 175, ar: 1
ai: 158, aj: 176, ar: -1
ai: 159, aj: 176, ar: 1
ai: 159, aj: 177, ar: -1
ai: 160, aj: 177, ar: 1
ai: 160, aj: 178, ar: -1
ai: 161, aj: 178, ar: 1
ai: 161, aj: 179, ar: -1
ai: 162, aj: 179, ar: 1
ai: 162, aj: 180, ar: -1
ai: 163, aj: 181, ar: 1
ai: 164, aj: 182, ar: 1
ai: 164, aj: 183, ar: -1
ai: 165, aj: 183, ar: 1
ai: 165, aj: 184, ar: -1
ai: 166, aj: 184, ar: 1
ai: 166, aj: 185, ar: -1
ai: 167, aj: 185, ar: 1
ai: 167, aj: 186, ar: -1
ai: 168, aj: 186, ar: 1
ai: 168, aj: 187, ar: -1
ai: 169, aj: 187, ar: 1
ai: 169, aj: 188, ar: -1
ai: 170, aj: 188, ar: 1
ai: 170, aj: 189, ar: -1
ai: 171, aj: 189, ar: 1
ai: 171, aj: 190, ar: -1
ai: 172, aj: 191, ar: 1
ai: 173, aj: 192, ar: 1
ai: 173, aj: 193, ar: -1
ai: 174, aj: 193, ar: 1
ai: 174, aj: 194, ar: -1
ai: 175, aj: 194, ar: 1
ai: 175, aj: 195, ar: -1
ai: 176, aj: 195, ar: 1
ai: 176, aj: 196, ar: -1
ai: 177, aj: 196, ar: 1
ai: 177, aj: 197, ar: -1
ai: 178, aj: 197, ar: 1
ai: 178, aj: 198, ar: -1
ai: 179, aj: 198, ar: 1
ai: 179, aj: 199, ar: -1
ai: 180, aj: 199, ar: 1
ai: 180, aj: 200, ar: -1
ai: 181, aj: 201, ar: 1
ai: 182, aj: 202, ar: 1
ai: 182, aj: 203, ar: -1
ai: 183, aj: 203, ar: 1
ai: 183, aj: 204, ar: -1
ai: 184, aj: 204, ar: 1
ai: 184, aj: 205, ar: -1
ai: 185, aj: 205, ar: 1
ai: 185, aj: 206, ar: -1
ai: 186, aj: 206, ar: 1
ai: 186, aj: 207, ar: -1
ai: 187, aj: 207, ar: 1
ai: 187, aj: 208, ar: -1
ai: 188, aj: 208, ar: 1
ai: 188, aj: 209, ar: -1
ai: 189, aj: 209, ar: 1
ai: 189, aj: 210, ar: -1
ai: 190, aj: 211, ar: 1
ai: 191, aj: 212, ar: 1
ai: 191, aj: 213, ar: -1
ai: 192, aj: 213, ar: 1
ai: 192, aj: 214, ar: -1
ai: 193, aj: 214, ar: 1
ai: 193, aj: 215, ar: -1
ai: 194, aj: 215, ar: 1
ai: 194, aj: 216, ar: -1
ai: 195, aj: 216, ar: 1
ai: 195, aj: 217, ar: -1
ai: 196, aj: 217, ar: 1
ai: 196, aj: 218, ar: -1
ai: 197, aj: 218, ar: 1
ai: 197, aj: 219, ar: -1
ai: 198, aj: 219, ar: 1
ai: 198, aj: 220, ar: -1
ai: 199, aj: 221, ar: 1
ai: 200, aj: 222, ar: 1
ai: 200, aj: 223, ar: -1
ai: 201, aj: 223, ar: 1
ai: 201, aj: 224, ar: -1
ai: 202, aj: 224, ar: 1
ai: 202, aj: 225, ar: -1
ai: 203, aj: 225, ar: 1
ai: 203, aj: 226, ar: -1
ai: 204, aj: 226, ar: 1
ai: 204, aj: 227, ar: -1
ai: 205, aj: 227, ar: 1
ai: 205, aj: 228, ar: -1
ai: 206, aj: 228, ar: 1
ai: 206, aj: 229, ar: -1
ai: 207, aj: 229, ar: 1
ai: 207, aj: 230, ar: -1
ai: 208, aj: 231, ar: 1
ai: 209, aj: 232, ar: 1
ai: 209, aj: 233, ar: -1
ai: 210, aj: 233, ar: 1
ai: 210, aj: 234, ar: -1
ai: 211, aj: 234, ar: 1
ai: 211, aj: 235, ar: -1
ai: 212, aj: 235, ar: 1
ai: 212, aj: 236, ar: -1
ai: 213, aj: 236, ar: 1
ai: 213, aj: 237, ar: -1
ai: 214, aj: 237, ar: 1
ai: 214, aj: 238, ar: -1
ai: 215, aj: 238, ar: 1
ai: 215, aj: 239, ar: -1
ai: 216, aj: 239, ar: 1
ai: 216, aj: 240, ar: -1
ai: 217, aj: 241, ar: 1
ai: 218, aj: 242, ar: 1
ai: 218, aj: 243, ar: -1
ai: 219, aj: 243, ar: 1
ai: 219, aj: 244, ar: -1
ai: 220, aj: 244, ar: 1
ai: 220, aj: 245, ar: -1
ai: 221, aj: 245, ar: 1
ai: 221, aj: 246, ar: -1
ai: 222, aj: 246, ar: 1
ai: 222, aj: 247, ar: -1
ai: 223, aj: 247, ar: 1
ai: 223, aj: 248, ar: -1
ai: 224, aj: 248, ar: 1
ai: 224, aj: 249, ar: -1
ai: 225, aj: 249, ar: 1
ai: 225, aj: 250, ar: -1
ai: 226, aj: 5, ar: 1
ai: 226, aj: 6, ar: -1
ai: 227, aj: 6, ar: 1
ai: 227, aj: 7, ar: -1
ai: 228, aj: 7, ar: 1
ai: 228, aj: 8, ar: -1
ai: 229, aj: 8, ar: 1
ai: 229, aj: 9, ar: -1
ai: 230, aj: 9, ar: 1
ai: 230, aj: 10, ar: -1
ai: 231, aj: 10, ar: 1
ai: 232, aj: 11, ar: 1
ai: 232, aj: 12, ar: -1
ai: 233, aj: 12, ar: 1
ai: 233, aj: 13, ar: -1
ai: 234, aj: 13, ar: 1
ai: 234, aj: 14, ar: -1
ai: 235, aj: 14, ar: 1
ai: 235, aj: 15, ar: -1
ai: 236, aj: 19, ar: 1
ai: 236, aj: 20, ar: -1
ai: 237, aj: 31, ar: 1
ai: 237, aj: 32, ar: -1
ai: 238, aj: 32, ar: 1
ai: 238, aj: 33, ar: -1
ai: 239, aj: 33, ar: 1
ai: 239, aj: 34, ar: -1
ai: 240, aj: 34, ar: 1
ai: 240, aj: 35, ar: -1
ai: 241, aj: 39, ar: 1
ai: 241, aj: 40, ar: -1
ai: 242, aj: 61, ar: 1
ai: 242, aj: 62, ar: -1
ai: 243, aj: 62, ar: 1
ai: 243, aj: 63, ar: -1
ai: 244, aj: 63, ar: 1
ai: 244, aj: 64, ar: -1
ai: 245, aj: 64, ar: 1
ai: 245, aj: 65, ar: -1
ai: 246, aj: 69, ar: 1
ai: 246, aj: 70, ar: -1
ai: 247, aj: 81, ar: 1
ai: 247, aj: 82, ar: -1
ai: 248, aj: 82, ar: 1
ai: 248, aj: 83, ar: -1
ai: 249, aj: 83, ar: 1
ai: 249, aj: 84, ar: -1
ai: 250, aj: 84, ar: 1
ai: 250, aj: 85, ar: -1
ai: 251, aj: 89, ar: 1
ai: 251, aj: 90, ar: -1
ai: 252, aj: 141, ar: 1
ai: 252, aj: 142, ar: -1
ai: 253, aj: 142, ar: 1
ai: 253, aj: 143, ar: -1
ai: 254, aj: 143, ar: 1
ai: 254, aj: 144, ar: -1
ai: 255, aj: 144, ar: 1
ai: 255, aj: 145, ar: -1
ai: 256, aj: 149, ar: 1
ai: 256, aj: 150, ar: -1
ai: 257, aj: 161, ar: 1
ai: 257, aj: 162, ar: -1
ai: 258, aj: 162, ar: 1
ai: 258, aj: 163, ar: -1
ai: 259, aj: 163, ar: 1
ai: 259, aj: 164, ar: -1
ai: 260, aj: 164, ar: 1
ai: 260, aj: 165, ar: -1
ai: 261, aj: 169, ar: 1
ai: 261, aj: 170, ar: -1
ai: 262, aj: 191, ar: 1
ai: 262, aj: 192, ar: -1
ai: 263, aj: 192, ar: 1
ai: 263, aj: 193, ar: -1
ai: 264, aj: 193, ar: 1
ai: 264, aj: 194, ar: -1
ai: 265, aj: 194, ar: 1
ai: 265, aj: 195, ar: -1
ai: 266, aj: 199, ar: 1
ai: 266, aj: 200, ar: -1
ai: 267, aj: 231, ar: 1
ai: 267, aj: 232, ar: -1
ai: 268, aj: 232, ar: 1
ai: 268, aj: 233, ar: -1
ai: 269, aj: 233, ar: 1
ai: 269, aj: 234, ar: -1
ai: 270, aj: 234, ar: 1
ai: 270, aj: 235, ar: -1
ai: 271, aj: 239, ar: 1
ai: 271, aj: 240, ar: -1
ai: 272, aj: 5, ar: -1
ai: 272, aj: 11, ar: 1
ai: 273, aj: 5, ar: -1
ai: 273, aj: 31, ar: 1
ai: 274, aj: 5, ar: -1
ai: 274, aj: 61, ar: 1
ai: 275, aj: 5, ar: -1
ai: 275, aj: 81, ar: 1
ai: 276, aj: 5, ar: -1
ai: 276, aj: 141, ar: 1
ai: 277, aj: 5, ar: -1
ai: 277, aj: 161, ar: 1
ai: 278, aj: 5, ar: -1
ai: 278, aj: 191, ar: 1
ai: 279, aj: 5, ar: -1
ai: 279, aj: 231, ar: 1
ai: 280, aj: 6, ar: -1
ai: 280, aj: 11, ar: 1
ai: 281, aj: 6, ar: -1
ai: 281, aj: 31, ar: 1
ai: 282, aj: 6, ar: -1
ai: 282, aj: 61, ar: 1
ai: 283, aj: 6, ar: -1
ai: 283, aj: 81, ar: 1
ai: 284, aj: 6, ar: -1
ai: 284, aj: 141, ar: 1
ai: 285, aj: 6, ar: -1
ai: 285, aj: 161, ar: 1
ai: 286, aj: 6, ar: -1
ai: 286, aj: 191, ar: 1
ai: 287, aj: 6, ar: -1
ai: 287, aj: 231, ar: 1
ai: 288, aj: 7, ar: -1
ai: 288, aj: 11, ar: 1
ai: 289, aj: 7, ar: -1
ai: 289, aj: 31, ar: 1
ai: 290, aj: 7, ar: -1
ai: 290, aj: 61, ar: 1
ai: 291, aj: 7, ar: -1
ai: 291, aj: 81, ar: 1
ai: 292, aj: 7, ar: -1
ai: 292, aj: 141, ar: 1
ai: 293, aj: 7, ar: -1
ai: 293, aj: 161, ar: 1
ai: 294, aj: 7, ar: -1
ai: 294, aj: 191, ar: 1
ai: 295, aj: 7, ar: -1
ai: 295, aj: 231, ar: 1
ai: 296, aj: 8, ar: -1
ai: 296, aj: 11, ar: 1
ai: 297, aj: 8, ar: -1
ai: 297, aj: 31, ar: 1
ai: 298, aj: 8, ar: -1
ai: 298, aj: 61, ar: 1
ai: 299, aj: 8, ar: -1
ai: 299, aj: 81, ar: 1
ai: 300, aj: 8, ar: -1
ai: 300, aj: 141, ar: 1
ai: 301, aj: 8, ar: -1
ai: 301, aj: 161, ar: 1
ai: 302, aj: 8, ar: -1
ai: 302, aj: 191, ar: 1
ai: 303, aj: 8, ar: -1
ai: 303, aj: 231, ar: 1
ai: 304, aj: 10, ar: -1
ai: 304, aj: 11, ar: 1
ai: 305, aj: 10, ar: -1
ai: 305, aj: 31, ar: 1
ai: 306, aj: 10, ar: -1
ai: 306, aj: 61, ar: 1
ai: 307, aj: 10, ar: -1
ai: 307, aj: 81, ar: 1
ai: 308, aj: 10, ar: -1
ai: 308, aj: 141, ar: 1
ai: 309, aj: 10, ar: -1
ai: 309, aj: 161, ar: 1
ai: 310, aj: 10, ar: -1
ai: 310, aj: 191, ar: 1
ai: 311, aj: 10, ar: -1
ai: 311, aj: 231, ar: 1
ai: 312, aj: 1, ar: -1
ai: 312, aj: 15, ar: 1
ai: 313, aj: 1, ar: -1
ai: 313, aj: 35, ar: 1
ai: 314, aj: 1, ar: -1
ai: 314, aj: 65, ar: 1
ai: 315, aj: 1, ar: -1
ai: 315, aj: 85, ar: 1
ai: 316, aj: 1, ar: -1
ai: 316, aj: 145, ar: 1
ai: 317, aj: 1, ar: -1
ai: 317, aj: 165, ar: 1
ai: 318, aj: 1, ar: -1
ai: 318, aj: 195, ar: 1
ai: 319, aj: 1, ar: -1
ai: 319, aj: 235, ar: 1
ai: 320, aj: 2, ar: -1
ai: 320, aj: 15, ar: 1
ai: 321, aj: 2, ar: -1
ai: 321, aj: 35, ar: 1
ai: 322, aj: 2, ar: -1
ai: 322, aj: 65, ar: 1
ai: 323, aj: 2, ar: -1
ai: 323, aj: 85, ar: 1
ai: 324, aj: 2, ar: -1
ai: 324, aj: 145, ar: 1
ai: 325, aj: 2, ar: -1
ai: 325, aj: 165, ar: 1
ai: 326, aj: 2, ar: -1
ai: 326, aj: 195, ar: 1
ai: 327, aj: 2, ar: -1
ai: 327, aj: 235, ar: 1
ai: 328, aj: 3, ar: -1
ai: 328, aj: 15, ar: 1
ai: 329, aj: 3, ar: -1
ai: 329, aj: 35, ar: 1
ai: 330, aj: 3, ar: -1
ai: 330, aj: 65, ar: 1
ai: 331, aj: 3, ar: -1
ai: 331, aj: 85, ar: 1
ai: 332, aj: 3, ar: -1
ai: 332, aj: 145, ar: 1
ai: 333, aj: 3, ar: -1
ai: 333, aj: 165, ar: 1
ai: 334, aj: 3, ar: -1
ai: 334, aj: 195, ar: 1
ai: 335, aj: 3, ar: -1
ai: 335, aj: 235, ar: 1
ai: 336, aj: 4, ar: -1
ai: 336, aj: 15, ar: 1
ai: 337, aj: 4, ar: -1
ai: 337, aj: 35, ar: 1
ai: 338, aj: 4, ar: -1
ai: 338, aj: 65, ar: 1
ai: 339, aj: 4, ar: -1
ai: 339, aj: 85, ar: 1
ai: 340, aj: 4, ar: -1
ai: 340, aj: 145, ar: 1
ai: 341, aj: 4, ar: -1
ai: 341, aj: 165, ar: 1
ai: 342, aj: 4, ar: -1
ai: 342, aj: 195, ar: 1
ai: 343, aj: 4, ar: -1
ai: 343, aj: 235, ar: 1
ai: 344, aj: 3, ar: 1
ai: 344, aj: 2, ar: -1
ai: 344, aj: 15, ar: 1
ai: 344, aj: 16, ar: -1
ai: 344, aj: 16, ar: 1
ai: 344, aj: 17, ar: -1
ai: 345, aj: 3, ar: 1
ai: 345, aj: 17, ar: -1
ai: 345, aj: 1, ar: 1
ai: 345, aj: 2, ar: -1
ai: 346, aj: 3, ar: 1
ai: 346, aj: 2, ar: -1
ai: 346, aj: 15, ar: 1
ai: 346, aj: 16, ar: -1
ai: 346, aj: 16, ar: 1
ai: 346, aj: 17, ar: -1
ai: 347, aj: 3, ar: 1
ai: 347, aj: 18, ar: -1
ai: 347, aj: 1, ar: 1
ai: 347, aj: 2, ar: -1
ai: 348, aj: 3, ar: 1
ai: 348, aj: 2, ar: -1
ai: 348, aj: 15, ar: 1
ai: 348, aj: 16, ar: -1
ai: 348, aj: 16, ar: 1
ai: 348, aj: 17, ar: -1
ai: 349, aj: 20, ar: -1
ai: 350, aj: 17, ar: 1
ai: 350, aj: 3, ar: -1
ai: 350, aj: 15, ar: 1
ai: 350, aj: 16, ar: -1
ai: 351, aj: 17, ar: 1
ai: 351, aj: 16, ar: -1
ai: 352, aj: 4, ar: 1
ai: 352, aj: 3, ar: -1
ai: 352, aj: 15, ar: 1
ai: 352, aj: 16, ar: -1
ai: 352, aj: 17, ar: 1
ai: 352, aj: 18, ar: -1
ai: 352, aj: 18, ar: 1
ai: 352, aj: 19, ar: -1
ai: 353, aj: 20, ar: -1
ai: 354, aj: 17, ar: 1
ai: 354, aj: 4, ar: -1
ai: 354, aj: 15, ar: 1
ai: 354, aj: 16, ar: -1
ai: 355, aj: 17, ar: 1
ai: 355, aj: 16, ar: -1
ai: 356, aj: 5, ar: 1
ai: 356, aj: 4, ar: -1
ai: 356, aj: 15, ar: 1
ai: 356, aj: 16, ar: -1
ai: 356, aj: 17, ar: 1
ai: 356, aj: 18, ar: -1
ai: 357, aj: 19, ar: 1
ai: 357, aj: 18, ar: -1
ai: 358, aj: 5, ar: 1
ai: 358, aj: 4, ar: -1
ai: 358, aj: 15, ar: 1
ai: 358, aj: 16, ar: -1
ai: 358, aj: 17, ar: 1
ai: 358, aj: 18, ar: -1
ai: 359, aj: 20, ar: -1
ai: 360, aj: 3, ar: 1
ai: 360, aj: 2, ar: -1
ai: 360, aj: 35, ar: 1
ai: 360, aj: 36, ar: -1
ai: 360, aj: 36, ar: 1
ai: 360, aj: 37, ar: -1
ai: 361, aj: 3, ar: 1
ai: 361, aj: 37, ar: -1
ai: 361, aj: 1, ar: 1
ai: 361, aj: 2, ar: -1
ai: 362, aj: 3, ar: 1
ai: 362, aj: 2, ar: -1
ai: 362, aj: 35, ar: 1
ai: 362, aj: 36, ar: -1
ai: 362, aj: 36, ar: 1
ai: 362, aj: 37, ar: -1
ai: 363, aj: 3, ar: 1
ai: 363, aj: 38, ar: -1
ai: 363, aj: 1, ar: 1
ai: 363, aj: 2, ar: -1
ai: 364, aj: 3, ar: 1
ai: 364, aj: 2, ar: -1
ai: 364, aj: 35, ar: 1
ai: 364, aj: 36, ar: -1
ai: 364, aj: 36, ar: 1
ai: 364, aj: 37, ar: -1
ai: 365, aj: 40, ar: -1
ai: 366, aj: 37, ar: 1
ai: 366, aj: 3, ar: -1
ai: 366, aj: 35, ar: 1
ai: 366, aj: 36, ar: -1
ai: 367, aj: 37, ar: 1
ai: 367, aj: 36, ar: -1
ai: 368, aj: 4, ar: 1
ai: 368, aj: 3, ar: -1
ai: 368, aj: 35, ar: 1
ai: 368, aj: 36, ar: -1
ai: 368, aj: 37, ar: 1
ai: 368, aj: 38, ar: -1
ai: 368, aj: 38, ar: 1
ai: 368, aj: 39, ar: -1
ai: 369, aj: 40, ar: -1
ai: 370, aj: 37, ar: 1
ai: 370, aj: 4, ar: -1
ai: 370, aj: 35, ar: 1
ai: 370, aj: 36, ar: -1
ai: 371, aj: 37, ar: 1
ai: 371, aj: 36, ar: -1
ai: 372, aj: 5, ar: 1
ai: 372, aj: 4, ar: -1
ai: 372, aj: 35, ar: 1
ai: 372, aj: 36, ar: -1
